country,development_index,life_expect,life_exp60,basic_water,gdp_per_capita,eco_footprint,pf_rol,ef_legal,adult_mortality,infant_mort,age1-4mort,happiness_score
Angola,0.52,62.63262,17.34829,55.08428000000001,4665.91,0.93,3.451813885,2.963635116,237.9694,0.0579,0.00752,3.866
Burundi,0.39,60.09811,16.591260000000002,60.20415,276.69,0.8,2.961469859,3.495487069,290.1858,0.05242,0.00645,2.905
Benin,0.48,61.08568,17.20543,66.32024,746.83,1.41,4.129479992,3.822761377,242.3741,0.06669,0.00939,3.484
Burkina Faso,0.39,60.32101,15.48575,48.26772,671.07,1.21,4.860574888,3.68765653,254.6027,0.055795,0.0086349999999999,3.739
Botswana,0.69,66.05297,17.42258,89.40444000000001,7743.5,3.83,5.641683932,5.950516249,249.2413,0.03256,0.0020399999999999,3.974
Tanzania,0.51,63.909130000000005,17.53598,54.84754,765.33,1.32,4.244131053,5.659837689,260.6826,0.0414,0.00431,3.666
Uganda,0.48,62.49541,17.124679999999998,47.66563,601.35,1.24,3.363040892,4.730399908,287.9427,0.0396899999999999,0.004115,3.739
South Africa,0.66,63.59951,16.57789,92.27031,8089.87,3.31,5.728137568,5.185801311,301.3036,0.03459,0.002345,4.459
Zambia,0.58,62.32869,17.51484,59.23856,1740.64,0.99,4.115583727,5.333995633,286.3146,0.045515,0.00522,4.795
Zimbabwe,0.49,61.44675,17.47945,64.51162,865.91,1.37,3.507598954,3.750569595,333.9667,0.040825,0.00427,4.193
Chad,0.39,54.25685,15.91514,38.85259,1161.22,1.46,2.900352865,2.663232022,359.7015,0.0808099999999999,0.014615,3.763
Togo,0.47,60.610980000000005,15.25292,64.02144,580.86,1.13,4.083063827,3.675637715,265.3151,0.053375,0.00669,3.303
Namibia,0.62,63.67717,16.73161,82.21806,5880.8,2.48,5.796621702,6.437481728,295.8852,0.031925,0.003295,4.574
Niger,0.34,59.82668,16.1868,49.50156,410.91,1.56,4.150643838,3.659423094,250.1592,0.053865,0.0110599999999999,3.856
Nigeria,0.5,55.19205,13.93325,70.02553,2612.12,1.16,4.327010052,3.603779382,352.469,0.070435,0.010275,4.875
Rwanda,0.48,68.03925,18.4912,56.98161999999999,628.08,0.87,5.282069945,7.164967817,198.2996,0.03073,0.002445,3.515
Senegal,0.46,66.77169,16.88008,79.46231999999999,1079.27,1.21,4.682384661,4.252700728,185.1502,0.034425,0.00351,4.219
Sierra Leone,0.4,53.1305,13.34951,59.56314,499.89,1.24,3.925095991,3.993543765,388.8057,0.0908,0.0084599999999999,4.635
Madagascar,0.51,66.08802,17.06002,53.18465,456.33,0.99,3.613214977,2.789804983,215.5435,0.03514,0.003245,3.695
Mali,0.41,57.95288000000001,15.379229999999998,76.58435,741.22,1.53,3.930245651,3.458599238,269.6224,0.07332,0.011805,4.073
Mauritania,0.5,63.94022,16.53675,68.83202,1524.39,2.54,3.93386056,3.72380883,202.3809,0.056945,0.007245,4.201
Mauritius,0.77,74.82426,20.72969,99.86639,8811.15,3.46,6.446820269,6.764334254,145.3546,0.01091,0.000575,5.648
Malawi,0.43,64.17274,17.38159,67.91184,493.84,0.81,4.922643465,4.673626155,254.7219,0.042975,0.00439,4.156
Kenya,0.54,66.67854,18.62585,58.28035,1062.11,1.03,3.953814707,4.913284598,219.2986,0.03763,0.003575,4.356
Liberia,0.42,62.94294,15.78716,72.44901,397.38,1.21,3.786012471,4.186922888,230.2532,0.05367,0.004325,3.622
Algeria,0.73,76.36365,21.9201,93.51585,5430.57,2.12,3.819566026,4.690742835,95.02545,0.02183,0.000905,6.355
Ethiopia,0.43,65.51109,18.13198,40.04142,379.38,1.02,3.302472672,4.644365028,219.473,0.041555,0.00456,4.508
Gabon,0.67,66.4489,18.31454,85.62704000000001,11989.0,2.02,4.241028336,3.902531341,220.698,0.034585,0.0033799999999999,4.121
Ghana,0.57,63.44865,15.73683,80.43578000000001,1627.9,1.97,5.747291576,5.356873168,241.2761,0.04228,0.00461,4.276
Guinea,0.41,59.79942,15.29844,62.10819,459.09,1.41,3.120741098,3.227979181,262.1077,0.06168,0.008395,3.607
Cameroon,0.5,58.06432,16.47642,60.15572,1271.21,1.17,3.02691825,3.19956054,341.3811,0.055775,0.007285,4.513
DR Congo,0.42,60.45245,16.91316,42.97677,338.63,0.82,2.603961178,2.629004551,256.1018,0.075845,0.006085,4.272
Congo Republic,0.57,64.30374,17.6451,72.18665,1943.69,1.29,3.512352174,3.244860837,260.5036,0.04004,0.00411,4.236
Argentina,0.83,76.94621,21.83528,99.07838,13540.0,3.14,5.744791027,3.904030401,111.4288,0.009855,0.0003,6.65
United States,0.91,78.49759,23.31899,99.26371,49725.0,8.22,6.949911658,7.396209007,114.1238,0.0058649999999999,0.0002299999999999,7.104
Venezuela,0.763846,74.05354,21.58961,95.77837,10237.8,3.57,2.060257402,2.00291539,156.7178,0.01411,0.00058,6.084
Paraguay,0.67,74.19203,21.24912,98.56575,3557.31,4.16,4.108065759,3.840887889,145.5476,0.01782,0.000755,5.538
El Salvador,0.66,73.67954,21.85309,97.06386,3696.33,2.07,4.355099989,3.576272354,176.8166,0.013175,0.00054,6.068
Suriname,0.71,71.80816999999999,19.23344,94.5194,8190.7,4.25,4.930395401,5.21644612,180.4631,0.0178499999999999,0.0005449999999999,6.269
